"Year","Opponent","Total_Passes_Attempted","Total_Passes_Completed","Total_Passing_Yards","Total_TD_Passes","Total_Ints","Total_Sacks"
2013,"BUF",561,310,3666,28,23,57
2013,"CAR",533,354,3598,16,19,58
2013,"CHI",487,304,3815,22,19,29
2013,"CIN",614,362,3623,22,20,43
2013,"CLE",582,353,3610,28,13,38
2013,"DAL",553,363,4466,32,12,28
2013,"DEN",510,291,3350,20,16,32
2013,"DET",541,323,3976,21,15,33
2013,"GNB",490,302,3806,28,9,41
2013,"HOU",436,257,3024,23,7,28
2013,"IND",506,305,3742,20,13,41
2013,"JAX",484,316,3815,26,10,26
2013,"KAN",471,266,3494,22,15,35
2013,"MIA",579,343,3994,17,18,42
2013,"MIN",596,384,4521,34,11,38
2013,"NE",548,317,3901,25,16,45
2013,"NO",459,284,3163,18,11,45
2013,"NYG",409,254,2820,17,12,20
2013,"NYJ",524,308,3803,22,12,35
2013,"OAK",514,349,4114,32,9,36
2013,"PHI",582,358,4302,24,15,32
2013,"PIT",530,308,3538,21,8,31
2013,"SD",451,296,3621,18,11,26
2013,"SEA",523,308,3048,15,28,44
2013,"SFO",502,301,3291,16,16,30
2013,"STL",475,325,3805,18,12,48
2013,"TB",546,352,4061,30,21,35
2013,"TEN",545,344,3839,15,13,36
2013,"WAS",457,302,3738,26,14,33
2014,"ARI",549,348,4180,21,16,29
2014,"ATL",564,358,4568,20,16,22
2014,"BAL",566,364,4138,20,10,44
2014,"BUF",559,337,3600,16,19,54
2014,"CAR",524,344,3581,23,14,39
2014,"CHI",522,345,4253,31,14,38
2014,"CIN",573,348,3828,18,17,18
2014,"CLE",553,313,3485,19,21,28
2014,"DAL",424,286,3157,17,12,20
2014,"DEN",640,398,3842,29,18,41
2014,"DET",553,360,3820,21,19,40
2014,"GNB",516,305,3518,24,16,37
2014,"HOU",481,272,3015,18,13,30
2014,"IND",467,276,3448,21,10,32
2014,"JAX",451,294,3408,20,6,37
2014,"KAN",486,281,3079,19,5,35
2014,"MIA",533,335,3703,27,14,39
2014,"MIN",511,337,3597,26,12,37
2014,"NE",569,341,4097,24,16,40
2014,"NO",517,319,3945,23,12,33
2014,"NYG",400,242,3101,16,13,31
2014,"NYJ",503,329,3796,31,6,44
2014,"OAK",537,343,3967,29,9,22
2014,"PHI",443,256,3411,22,9,33
2014,"PIT",517,334,3974,28,10,33
2014,"SD",521,319,3586,24,7,26
2014,"SEA",434,264,2685,11,12,33
2014,"SFO",445,266,3099,26,17,27
2014,"STL",517,350,3909,16,12,40
2014,"TB",532,363,4031,28,14,34
2014,"TEN",470,296,3485,25,10,33
2014,"WAS",381,252,3189,28,4,27
2015,"ARI",509,301,3475,22,16,32
2015,"ATL",473,312,3476,17,11,18
