Week,HomeTeam,AwayTeam,Total,H-RushAtt,H-RushYards,H-PassYards,H-Turnover,H-Score,A-RushAtt,A-RushYards,A-PassYards,A-Turnover,A-Score,Result
14,LAC,CIN,48.5,25,85,220,0,26,32,144,170,0,21,-1
14,SFO,DEN,45.5,30,84,332,1,20,27,103,186,0,14,-1
14,TAM,NOR,54.0,23,105,213,1,14,30,100,201,2,28,-1
14,WAS,NYG,40.5,22,84,233,3,16,34,227,197,1,40,1
14,SEA,MIN,45.5,42,214,72,1,21,21,77,208,1,7,-1
15,KAN,LAC,54.0,17,60,243,0,28,24,119,313,2,29,1
15,DEN,CLE,47.0,20,32,257,2,16,28,134,188,2,17,-1
15,NYJ,HOU,44.0,31,90,253,1,22,17,47,294,0,29,1
15,ATL,ARI,43.5,27,215,231,0,40,22,60,243,3,14,1
15,BUF,DET,40.0,37,117,204,0,14,26,105,208,0,13,-1
15,CHI,GNB,46.5,29,100,235,1,24,19,88,274,1,17,-1
15,CIN,OAK,46.0,41,171,130,1,30,16,68,263,2,16,0
15,IND,DAL,46.5,39,178,192,1,23,22,112,206,1,0,-1
15,JAX,WAS,36.5,26,172,57,2,13,33,109,151,0,16,-1
15,MIN,MIA,45.0,40,220,215,1,41,20,156,108,0,17,1
15,NYG,TEN,42.0,16,47,229,2,0,45,215,94,0,17,-1
15,PIT,NWE,56.0,25,158,235,2,17,19,96,279,1,10,-1
15,LAR,PHI,52.5,18,82,339,3,23,30,111,270,1,30,1
15,BAL,TAM,45.0,49,242,131,2,20,21,85,157,1,12,-1
15,SFO,SEA,44.0,26,94,275,1,26,35,168,237,0,23,1
15,CAR,NOR,50.5,23,98,181,2,9,32,155,203,2,12,-1
16,TEN,WAS,37.5,27,99,211,0,25,34,161,153,2,16,1
16,LAC,BAL,42.5,16,51,181,3,10,35,159,204,1,22,-1
16,CAR,ATL,46.0,25,141,312,4,10,21,194,239,2,24,-1
16,CLE,CIN,44.0,28,146,347,0,26,24,102,133,0,18,0
16,IND,NYG,48.5,16,49,357,1,28,29,83,309,1,27,1
16,ARI,LAR,43.0,18,104,182,0,9,41,269,216,1,31,-1
16,DAL,TAM,48.0,24,80,161,0,27,24,63,336,2,20,-1
16,DET,MIN,42.5,23,86,161,0,9,28,100,253,0,27,-1
16,MIA,JAX,39.5,18,62,146,2,7,32,126,145,1,17,-1
16,NOR,PIT,53.0,19,57,326,1,31,18,65,380,2,28,1
16,NWE,BUF,45.0,47,273,126,3,24,18,72,217,3,12,-1
16,NYJ,GNB,47.5,20,47,341,0,38,20,127,442,1,44,1
16,PHI,HOU,46.5,22,57,471,3,32,19,62,339,1,30,1
16,SEA,KAN,54.5,43,210,271,0,38,19,154,273,2,31,1
16,SFO,CHI,44.0,15,47,241,1,9,28,90,246,2,14,-1
16,OAK,DEN,42.5,30,114,167,0,27,24,100,202,2,14,-1
17,BUF,MIA,39.5,33,166,224,1,42,25,99,150,4,17,1
17,DEN,LAC,43.5,25,82,292,4,9,30,116,176,4,23,-1
17,GNB,DET,44.5,13,46,158,1,0,38,130,274,0,31,-1
17,HOU,JAX,39.5,33,134,234,1,20,16,30,107,2,3,-1
17,KAN,OAK,52.5,27,99,310,1,35,29,127,185,4,3,-1
17,MIN,CHI,40.5,15,63,132,0,10,37,169,163,0,24,-1
17,NOR,CAR,42.0,27,184,118,1,14,37,111,268,0,33,1
17,NWE,NYJ,46.5,30,131,250,0,38,23,104,167,3,3,-1
17,NYG,DAL,38.5,25,143,301,2,35,22,51,387,1,36,1
17,TEN,IND,42.5,16,93,165,3,17,36,158,285,2,33,1
17,PIT,CIN,45.0,20,65,287,1,16,18,125,95,0,13,-1
17,LAR,SFO,49.5,42,155,222,0,48,22,127,282,4,32,1
17,BAL,CLE,41.0,47,296,179,1,26,14,50,376,3,24,1
17,SEA,ARI,39.5,34,182,152,1,27,24,85,149,2,24,1
17,TAM,ATL,51.5,20,92,345,1,32,30,109,383,1,34,1
17,WAS,PHI,42.5,12,21,98,1,0,34,129,243,1,24,-1
2,CIN,BAL,43.0,28,108,265,0,34,22,66,376,3,23,1
2,ATL,CAR,44.0,32,170,272,1,31,18,121,335,1,24,1
2,BUF,LAC,41.5,22,84,245,2,20,26,109,256,0,31,1
2,DAL,NYG,42.0,25,138,160,0,20,17,35,279,1,13,-1
2,DEN,OAK,44.0,28,168,222,1,20,27,92,288,0,19,-1
2,GNB,MIN,45.0,24,98,281,0,29,18,68,425,1,29,1
2,JAX,NWE,44.5,24,104,376,2,31,24,82,234,1,20,1
2,NOR,CLE,51.0,23,62,243,2,21,27,93,246,1,18,-1
2,NYJ,MIA,43.0,19,42,334,3,12,31,135,168,2,20,-1
2,TEN,HOU,41.0,34,100,191,0,20,26,148,310,1,17,-1
2,PIT,KAN,52.0,13,33,452,0,37,25,127,326,1,42,1
2,LAR,ARI,43.5,33,90,354,1,34,15,54,90,1,0,-1
2,SFO,DET,48.5,28,190,206,0,30,18,98,347,1,27,1
2,TAM,PHI,46.5,23,43,402,2,27,24,91,334,2,21,1
2,WAS,IND,48.0,22,65,292,1,9,28,104,179,2,21,-1
2,CHI,SEA,42.5,27,86,200,2,24,22,74,226,2,17,-1
3,CLE,NYJ,41.0,33,133,220,0,21,30,107,169,3,17,-1
3,ATL,NOR,54.0,22,48,374,0,37,27,143,396,0,43,1
3,CAR,CIN,44.0,41,230,150,0,31,13,66,352,4,21,1
3,ARI,CHI,39.0,18,53,193,4,14,31,122,220,2,16,-1
3,DET,NWE,55.0,33,159,262,1,26,19,89,133,1,10,-1
3,HOU,NYG,44.0,19,59,385,2,22,27,114,297,0,27,1
3,JAX,TEN,39.0,19,87,155,1,6,35,150,108,0,9,-1
3,KAN,SFO,53.0,28,77,314,0,38,29,178,251,0,27,1
3,MIA,OAK,46.0,14,41,341,0,28,32,109,345,2,20,1
3,MIN,BUF,41.0,6,14,296,3,6,38,128,196,0,27,-1
3,PHI,IND,45.5,35,152,255,2,20,13,68,164,0,16,-1
3,LAR,LAC,49.0,35,171,354,2,35,20,141,226,2,23,1
3,BAL,DEN,46.0,28,77,277,0,27,24,120,192,1,14,-1
3,SEA,DAL,40.0,39,113,192,0,24,19,166,168,3,13,-1
3,WAS,GNB,45.5,35,166,220,1,31,17,100,265,1,17,1
3,TAM,PIT,55.0,16,63,411,4,27,22,78,353,1,30,1
4,LAR,MIN,48.5,20,100,465,0,38,17,54,422,1,31,1
4,ATL,CIN,52.5,24,92,419,0,36,23,99,337,1,37,1
4,CHI,TAM,46.0,31,139,354,0,48,18,60,271,3,10,1
4,IND,HOU,48.0,17,41,464,2,34,35,119,375,1,37,1
4,ARI,SEA,40.0,28,92,180,1,17,34,171,172,0,20,-1
4,DAL,DET,43.5,35,183,255,0,26,20,96,307,0,24,1
4,GNB,BUF,43.5,32,141,298,2,22,16,58,151,3,0,-1
4,JAX,NYJ,40.5,34,126,388,3,31,14,34,167,0,12,1
4,NWE,MIA,50.5,40,175,274,2,38,18,56,135,2,7,-1
4,NYG,NOR,51.5,15,65,255,2,18,32,170,227,0,33,-1
4,TEN,PHI,41.5,22,70,344,1,26,22,117,348,1,23,1
4,PIT,BAL,51.0,11,19,274,2,14,30,96,363,1,26,-1
4,OAK,CLE,44.5,29,139,437,2,45,31,208,295,4,42,1
4,LAC,SFO,46.0,27,126,250,1,29,21,76,298,2,27,1
4,DEN,KAN,53.5,22,159,245,1,23,26,142,304,0,27,-1
5,NWE,IND,49.5,23,97,341,2,38,21,84,365,3,24,1
5,BUF,TEN,38.5,43,144,82,1,13,25,100,129,3,12,-1
5,CAR,NYG,43.5,31,118,237,2,33,16,50,383,3,31,1
5,CIN,MIA,47.5,26,103,248,1,27,22,128,185,3,17,-1
5,CLE,BAL,44.5,28,112,342,1,12,25,116,298,2,9,-1
5,DET,GNB,50.0,28,94,183,0,31,20,98,442,3,23,1
5,HOU,DAL,45.5,31,88,375,2,19,29,98,208,2,16,-1
5,KAN,JAX,48.0,30,126,313,2,30,17,101,430,5,14,-1
5,NYJ,DEN,43.0,38,323,198,2,34,17,92,377,1,16,1
5,PHI,MIN,48.0,17,81,311,2,21,23,77,301,1,23,-1
5,PIT,ATL,57.0,29,131,250,1,41,19,62,305,1,17,1
5,LAC,OAK,52.0,31,79,339,0,26,13,41,268,2,10,-1
5,SEA,LAR,50.5,32,190,198,0,31,30,155,321,2,33,1
5,SFO,ARI,40.5,34,147,349,5,18,23,56,170,0,28,1
5,NOR,WAS,51.5,32,98,363,1,43,18,39,275,2,19,1
6,NYG,PHI,45.0,17,147,281,1,13,31,108,278,0,34,1
6,ATL,TAM,57.0,22,70,355,0,34,20,121,395,2,29,1
6,CIN,PIT,49.5,13,62,229,0,21,21,112,369,0,28,-1
6,CLE,LAC,47.0,21,103,238,2,14,36,246,215,1,38,1
6,DAL,JAX,39.0,42,206,183,0,40,18,65,149,2,7,1
6,DEN,LAR,50.0,17,60,322,1,20,39,270,201,1,23,-1
6,HOU,BUF,40.5,24,74,177,3,20,27,100,145,3,13,-1
6,MIA,CHI,40.5,31,161,380,3,31,31,164,316,3,28,1
6,MIN,ARI,43.5,32,195,233,2,27,20,60,240,2,17,1
6,NWE,KAN,59.5,38,173,340,1,43,17,94,352,2,40,1
6,NYJ,IND,47.5,36,107,280,2,42,23,127,301,4,34,1
6,TEN,BAL,43.5,14,55,117,0,0,35,123,238,1,21,-1
6,OAK,SEA,48.0,19,79,142,2,3,37,155,222,1,27,-1
6,WAS,CAR,44.5,28,132,163,0,23,18,81,275,3,17,-1
6,GNB,SFO,46.5,21,116,425,0,33,30,174,245,3,30,1
7,ARI,DEN,42.5,21,69,194,5,10,31,131,189,1,45,1
7,CHI,NWE,48.5,25,134,333,2,31,27,108,277,3,38,1
7,IND,BUF,43.5,37,220,156,0,37,22,135,175,5,5,-1
7,JAX,HOU,42.5,22,70,217,3,7,37,141,139,0,20,-1
7,KAN,CIN,56.0,29,198,358,1,45,19,65,187,1,10,-1
7,MIA,DET,47.0,19,107,239,0,21,35,248,217,0,32,1
7,NYJ,MIN,45.0,24,71,206,4,17,24,88,241,0,37,1
7,PHI,CAR,45.0,24,58,310,1,17,17,121,269,0,21,-1
7,BAL,NOR,49.0,23,77,284,0,23,39,134,212,1,24,-1
7,LAC,TEN,46.0,16,47,306,0,20,33,164,237,1,19,-1
7,SFO,LAR,52.0,24,107,170,4,10,36,146,202,0,39,-1
7,TAM,CLE,52.5,32,114,365,4,26,23,119,215,1,23,-1
7,WAS,DAL,40.5,32,130,178,0,20,22,73,273,2,17,-1
7,ATL,NYG,52.0,20,67,379,1,23,20,61,399,0,20,-1
8,HOU,MIA,45.0,35,188,239,0,42,25,116,269,1,23,1
8,CAR,BAL,44.0,33,154,232,0,36,18,101,238,3,21,1
8,CHI,NYJ,42.5,34,179,220,0,24,24,57,153,0,10,-1
8,CIN,TAM,55.0,27,138,280,0,37,27,126,470,4,34,1
8,ARI,SFO,40.0,21,88,252,2,18,31,107,190,0,15,-1
8,DET,SEA,48.0,13,34,310,3,14,42,176,248,0,28,-1
8,JAX,PHI,44.0,17,70,286,1,18,28,133,286,2,24,-1
8,KAN,DEN,53.0,18,49,303,1,30,30,189,262,2,23,0
